type,title,target,value,effect_text,count
Natural,Flash Flood,Plains / River,,"Discard 2 Food or destroy 1 Farm on a Plains tile.",2
Natural,Root Rot,Forest,,"Production of Wood is halved (rounded down) for the next round.",2
Natural,Cave-In,Mountain,,"**Blocked:** Place a ""Blocked"" token on one Mine. It produces nothing until cleared.",2
Natural,Blighted Crops,Plains,,"Destroy 1 Farm level 1. If a Level 2+ Farm exists, downgrade it by one level instead.",2
Natural,Deep Freeze,Global,,"All players must discard 1 card from their hand immediately.",1
Natural,Wildfire,Forest,,"Destroy 1 Forester Station. If adjacent to another Forest, spread to that tile unless 2 Food (Water) spent.",1
Natural,Tremors,Mountain,,"All Stone production reduced by 1 per Quarry this round.",2
Natural,Drought,Plains,,"Food production cost increases: Must spend 1 Wood to harvest Food this round.",2
Natural,Pestilence,Global,,"Each player must trash 1 card from their hand or discard 2 cards.",1
Natural,Heavy Fog,Global,,"Exploration action costs +1 Resource this round.",1
Hostile,Kobold Scavengers,Storage,,"Lose 3 basic resources of the team's choice. **Fox Walls** prevent this.",3
Hostile,Siege Engine,Any Building,,"Destroy one building on the outermost edge of the map. **Fortifications** (Lvl 2+) prevent this.",1
Hostile,Supply Ambush,Roads,,"Players cannot pass cards to neighbors during the next round.",2
Hostile,Goblin Raiders,Outskirts,,"Steal 1 random card from each player's hand. **Fox Walls** prevent this.",2
Hostile,Bandit Camp,Hex Tile,,"Place a Bandit Token on a random empty hex. Blocks building until cleared (Cost: 3 Resources).",2
Aether,Mana Surge,Global,+1,"All Owl Research costs increase by 1 resource this round.",2
Aether,Reality Fracture,Magic Tree,+1,"Lose 2 Insight or move the Storm Track an additional +1 step.",2
Aether,The Storm's Eye,Fox House,+2,"The Fox player must shuffle 2 ""Fear"" cards into their deck.",1
Aether,Aether Howl,Global,+1,"**Silence:** No players may communicate verbally during the next Strategy Phase.",1
Aether,Aether Feedback,Owl House,+1,"Owl player must discard 1 card for every 2 Research cards they have in their tableau.",2
Aether,Time Dilation,Badger House,+1,"Badgers have -1 Worker this round.",1
Aether,Resource Decay,Storage,+1,"All stored Basic Resources are reduced by half (rounded up).",1
Aether,Shadow Walkers,Global,+2,"Hostile Events this round have +1 Severity.",1
Aether,Void Whispers,Global,+1,"Players cannot draw cards from card effects this round.",1
Aether,The Darkening,Global,+2,"Reveal the next 2 events immediately. Resolve them both.",1
Aether,Storm Climax,Global,+3,"**CRITICAL:** If not cancelled by spending 10 Insight, the game ends immediately (Loss).",1
Fear,Fear,None,,"**Unplayable.** Cannot be played for any action. Takes up hand space.",10